PROV_CODE,PROV_NAME,default,20200124_034000
0,CHINA,"[0, 0, 0, 0]","[869, 869, 1579797267.0, 16]"
11,BEIJING,"[0, 0, 0, 0]","[26, 26, 1579774464.0, 10]"
12,TIANJIN,"[0, 0, 0, 0]","[5, 5, 1579700289.0, 13]"
13,HEBEI,"[0, 0, 0, 0]","[2, 2, 1579797215.0, 16]"
14,SHANXI,"[0, 0, 0, 0]","[1, 1, 1579700369.0, 13]"
15,NEIMENGGU,"[0, 0, 0, 0]","[1, 1, 1579754908.0, 4]"
21,LIAONING,"[0, 0, 0, 0]","[3, 3, 1579751654.0, 3]"
22,JILIN,"[0, 0, 0, 0]","[3, 3, 1579751679.0, 3]"
23,HEILONGJIANG,"[0, 0, 0, 0]","[4, 4, 1579777116.0, 10]"
31,SHANGHAI,"[0, 0, 0, 0]","[20, 20, 1579740884.0, 0]"
32,JIANGSU,"[0, 0, 0, 0]","[9, 9, 1579786691.0, 13]"
33,ZHEJIANG,"[0, 0, 0, 0]","[43, 43, 1579759106.0, 5]"
34,ANHUI,"[0, 0, 0, 0]","[15, 15, 1579754921.0, 4]"
35,FUJIAN,"[0, 0, 0, 0]","[5, 5, 1579771253.0, 9]"
36,JIANGXI,"[0, 0, 0, 0]","[7, 7, 1579797267.0, 16]"
37,SHANDONG,"[0, 0, 0, 0]","[9, 9, 1579747746.0, 2]"
41,HENAN,"[0, 0, 0, 0]","[9, 9, 1579700317.0, 13]"
42,HUBEI,"[0, 0, 0, 0]","[549, 549, 1579704518.0, 14]"
43,HUNAN,"[0, 0, 0, 0]","[24, 24, 1579751736.0, 3]"
44,GUANGZHOU,"[0, 0, 0, 0]","[53, 53, 1579773067.0, 9]"
45,GUANGXI,"[0, 0, 0, 0]","[13, 13, 1579738494.0, 0]"
46,HAINAN,"[0, 0, 0, 0]","[8, 8, 1579768905.0, 8]"
50,CHONGQING,"[0, 0, 0, 0]","[27, 27, 1579754889.0, 4]"
51,SICHUAN,"[0, 0, 0, 0]","[15, 15, 1579747776.0, 2]"
52,GUIZHOU,"[0, 0, 0, 0]","[3, 3, 1579754969.0, 4]"
53,YUNAN,"[0, 0, 0, 0]","[2, 2, 1579796948.0, 16]"
54,XIZANG,"[0, 0, 0, 0]",
61,SHAANXI,"[0, 0, 0, 0]","[3, 3, 1579774432.0, 10]"
62,GANSU,"[0, 0, 0, 0]","[2, 2, 1579791575.0, 14]"
63,QINGHAI,"[0, 0, 0, 0]",
64,NINGXIA,"[0, 0, 0, 0]","[1, 1, 1579700276.0, 13]"
65,XIJIANG,"[0, 0, 0, 0]","[2, 2, 1579774516.0, 10]"
66,HONGKONG,"[0, 0, 0, 0]","[2, 2, 1579791987.0, 15]"
67,MACAO,"[0, 0, 0, 0]","[2, 2, 1579745548.0, 2]"
68,TAIWAN,"[0, 0, 0, 0]","[1, 1, 1579700359.0, 13]"
