PROV_CODE,PROV_NAME,default,20200124_034000,20200124_041657
0,CHINA,"[0, 0, 0, 0]","[869, 869, 1579797267.0, 16]","[870, 1, 1579797267.0, 0]"
11,BEIJING,"[0, 0, 0, 0]","[26, 26, 1579774464.0, 10]","[26, 0, 1579774464.0, 0]"
12,TIANJIN,"[0, 0, 0, 0]","[5, 5, 1579700289.0, 13]","[5, 0, 1579700289.0, 0]"
13,HEBEI,"[0, 0, 0, 0]","[2, 2, 1579797215.0, 16]","[2, 0, 1579797215.0, 0]"
14,SHANXI,"[0, 0, 0, 0]","[1, 1, 1579700369.0, 13]","[1, 0, 1579700369.0, 0]"
15,NEIMENGGU,"[0, 0, 0, 0]","[1, 1, 1579754908.0, 4]","[1, 0, 1579754908.0, 0]"
21,LIAONING,"[0, 0, 0, 0]","[3, 3, 1579751654.0, 3]","[4, 1, 1579751654.0, 0]"
22,JILIN,"[0, 0, 0, 0]","[3, 3, 1579751679.0, 3]","[3, 0, 1579751679.0, 0]"
23,HEILONGJIANG,"[0, 0, 0, 0]","[4, 4, 1579777116.0, 10]","[4, 0, 1579777116.0, 0]"
31,SHANGHAI,"[0, 0, 0, 0]","[20, 20, 1579740884.0, 0]","[20, 0, 1579740884.0, 0]"
32,JIANGSU,"[0, 0, 0, 0]","[9, 9, 1579786691.0, 13]","[9, 0, 1579786691.0, 0]"
33,ZHEJIANG,"[0, 0, 0, 0]","[43, 43, 1579759106.0, 5]","[43, 0, 1579759106.0, 0]"
34,ANHUI,"[0, 0, 0, 0]","[15, 15, 1579754921.0, 4]","[15, 0, 1579754921.0, 0]"
35,FUJIAN,"[0, 0, 0, 0]","[5, 5, 1579771253.0, 9]","[5, 0, 1579771253.0, 0]"
36,JIANGXI,"[0, 0, 0, 0]","[7, 7, 1579797267.0, 16]","[7, 0, 1579797267.0, 0]"
37,SHANDONG,"[0, 0, 0, 0]","[9, 9, 1579747746.0, 2]","[9, 0, 1579747746.0, 0]"
41,HENAN,"[0, 0, 0, 0]","[9, 9, 1579700317.0, 13]","[9, 0, 1579700317.0, 0]"
42,HUBEI,"[0, 0, 0, 0]","[549, 549, 1579704518.0, 14]","[549, 0, 1579704518.0, 0]"
43,HUNAN,"[0, 0, 0, 0]","[24, 24, 1579751736.0, 3]","[24, 0, 1579751736.0, 0]"
44,GUANGZHOU,"[0, 0, 0, 0]","[53, 53, 1579773067.0, 9]","[53, 0, 1579773067.0, 0]"
45,GUANGXI,"[0, 0, 0, 0]","[13, 13, 1579738494.0, 0]","[13, 0, 1579738494.0, 0]"
46,HAINAN,"[0, 0, 0, 0]","[8, 8, 1579768905.0, 8]","[8, 0, 1579768905.0, 0]"
50,CHONGQING,"[0, 0, 0, 0]","[27, 27, 1579754889.0, 4]","[27, 0, 1579754889.0, 0]"
51,SICHUAN,"[0, 0, 0, 0]","[15, 15, 1579747776.0, 2]","[15, 0, 1579747776.0, 0]"
52,GUIZHOU,"[0, 0, 0, 0]","[3, 3, 1579754969.0, 4]","[3, 0, 1579754969.0, 0]"
53,YUNAN,"[0, 0, 0, 0]","[2, 2, 1579796948.0, 16]","[2, 0, 1579796948.0, 0]"
54,XIZANG,"[0, 0, 0, 0]",,
61,SHAANXI,"[0, 0, 0, 0]","[3, 3, 1579774432.0, 10]","[3, 0, 1579774432.0, 0]"
62,GANSU,"[0, 0, 0, 0]","[2, 2, 1579791575.0, 14]","[2, 0, 1579791575.0, 0]"
63,QINGHAI,"[0, 0, 0, 0]",,
64,NINGXIA,"[0, 0, 0, 0]","[1, 1, 1579700276.0, 13]","[1, 0, 1579700276.0, 0]"
65,XIJIANG,"[0, 0, 0, 0]","[2, 2, 1579774516.0, 10]","[2, 0, 1579774516.0, 0]"
66,HONGKONG,"[0, 0, 0, 0]","[2, 2, 1579791987.0, 15]","[2, 0, 1579791987.0, 0]"
67,MACAO,"[0, 0, 0, 0]","[2, 2, 1579745548.0, 2]","[2, 0, 1579745548.0, 0]"
68,TAIWAN,"[0, 0, 0, 0]","[1, 1, 1579700359.0, 13]","[1, 0, 1579700359.0, 0]"
